"","Site","Date","Color","Temp_C"
"162","Balzor",2022-02-28,"White",5.18749998137355
"163","Balzor",2022-03-01,"Black",11.637500077486
"164","Balzor",2022-03-01,"White",8.22499994933605
"165","Balzor",2022-03-02,"Black",10.9749998450279
"166","Balzor",2022-03-02,"White",7.82499997317791
"167","Balzor",2022-03-03,"Black",11.8499999344349
"168","Balzor",2022-03-03,"White",8.51249995827675
"169","Balzor",2022-03-04,"Black",6.31250004842877
"170","Balzor",2022-03-04,"White",4.77500003948808
"171","Balzor",2022-03-05,"Black",4.33749997615814
"172","Balzor",2022-03-05,"White",3.05000002682209
"173","Balzor",2022-03-06,"Black",0.862499982118607
"174","Balzor",2022-03-06,"White",0.487499982118607
"175","Balzor",2022-03-07,"Black",4.60000002384186
"176","Balzor",2022-03-07,"White",2.3000001013279
"177","Balzor",2022-03-08,"Black",1.56250007171184
"178","Balzor",2022-03-08,"White",0.637499989941716
"179","Balzor",2022-03-09,"Black",0.362500011920929
"180","Balzor",2022-03-09,"White",-0.0499999858438969
"181","Balzor",2022-03-10,"Black",-1.00000000745058
"182","Balzor",2022-03-10,"White",-0.749999985098839
"183","Balzor",2022-03-11,"Black",4.02500009536743
"184","Balzor",2022-03-11,"White",1.88750007748604
"185","Balzor",2022-03-12,"Black",9.99999986030161
"186","Balzor",2022-03-12,"White",7.6749998126179
"187","Balzor",2022-03-13,"Black",3.08749994635582
"188","Balzor",2022-03-13,"White",2.66250000614673
"189","Balzor",2022-03-14,"Black",7.16250001452863
"190","Balzor",2022-03-14,"White",5.97500009089708
"191","Balzor",2022-03-15,"Black",7.73749989271164
"192","Balzor",2022-03-15,"White",6.14999994635582
"193","Balzor",2022-03-16,"Black",6.1625000089407
"194","Balzor",2022-03-16,"White",4.47499991953373
"195","Balzor",2022-03-17,"Black",6.8499999595806
"196","Balzor",2022-03-17,"White",4.72500000149012
"197","Balzor",2022-03-18,"Black",8.06249995529652
"198","Balzor",2022-03-18,"White",5.94999991357327
"199","Balzor",2022-03-19,"Black",8.33750006556511
"200","Balzor",2022-03-19,"White",6.68750008940697
"201","Balzor",2022-03-20,"Black",5.59999996423721
"202","Balzor",2022-03-20,"White",3.6250000372529
"203","Balzor",2022-03-21,"Black",4.63750002533197
"204","Balzor",2022-03-21,"White",3.07500000298023
"205","Balzor",2022-03-22,"Black",9.76249995827675
"206","Balzor",2022-03-22,"White",7.15000011026859
"207","Balzor",2022-03-23,"Black",11.4625000655651
"208","Balzor",2022-03-23,"White",8.73749995231628
"209","Balzor",2022-03-24,"Black",12.6624999046326
"210","Balzor",2022-03-24,"White",9.38749983906746
"211","Balzor",2022-03-25,"Black",14.0624999403954
"212","Balzor",2022-03-25,"White",10.6624999642372
"213","Balzor",2022-03-26,"Black",15.4000001549721
"214","Balzor",2022-03-26,"White",11.6374999880791
"215","Balzor",2022-03-27,"Black",13.387500166893
"216","Balzor",2022-03-27,"White",10.3125
"217","Balzor",2022-03-28,"Black",11.6999999880791
"218","Balzor",2022-03-28,"White",9.02500003576279
"219","Balzor",2022-03-29,"Black",10.5499998927116
"220","Balzor",2022-03-29,"White",8.1999998986721
"221","Balzor",2022-03-30,"Black",7.73749986290932
"222","Balzor",2022-03-30,"White",5.82499998807907
"223","Balzor",2022-03-31,"Black",9.53749971091747
"224","Balzor",2022-03-31,"White",6.375
"225","Balzor",2022-04-01,"Black",10.462500192225
"226","Balzor",2022-04-01,"White",6.90000007301569
"227","Balzor",2022-04-02,"Black",12.8499998450279
"228","Balzor",2022-04-02,"White",8.91249993443489
"229","Balzor",2022-04-03,"Black",10.9249999076128
"230","Balzor",2022-04-03,"White",7.66249989718199
"231","Balzor",2022-04-04,"Black",8.96250009536743
"232","Balzor",2022-04-04,"White",6.9499998986721
"233","Balzor",2022-04-05,"Black",8.18749989569187
"234","Balzor",2022-04-05,"White",5.50000008940697
"235","Balzor",2022-04-06,"Black",10.9250001050532
"236","Balzor",2022-04-06,"White",6.77500000596046
"237","Balzor",2022-04-07,"Black",14.4749999791384
"238","Balzor",2022-04-07,"White",9.77499990165234
"239","Balzor",2022-04-08,"Black",16.3374998569489
"240","Balzor",2022-04-08,"White",12.5749999284744
"241","Balzor",2022-04-09,"Black",9.95000007748604
"242","Balzor",2022-04-09,"White",6.77500014007092
"243","Balzor",2022-04-10,"Black",3.96250001713634
"244","Balzor",2022-04-10,"White",2.09999997168779
"245","Balzor",2022-04-11,"Black",2.36249999701977
"246","Balzor",2022-04-11,"White",1.72499996423721
"247","Balzor",2022-04-12,"Black",3.51250006258488
"248","Balzor",2022-04-12,"White",1.69999999273568
"249","Balzor",2022-04-13,"Black",3.87500007916242
"250","Balzor",2022-04-13,"White",1.71250000596046
"251","Balzor",2022-04-14,"Black",5.14999996125698
"252","Balzor",2022-04-14,"White",3.24999997019768
"253","Balzor",2022-04-15,"Black",7.73750016093254
"254","Balzor",2022-04-15,"White",5.41249985992908
"255","Balzor",2022-04-16,"Black",6.13750004768372
"256","Balzor",2022-04-16,"White",4.96249993145466
"257","Balzor",2022-04-17,"Black",8.80000002682209
"258","Balzor",2022-04-17,"White",6.52499994635582
"259","Balzor",2022-04-18,"Black",7.93750002980232
"260","Balzor",2022-04-18,"White",6.73749995231628
"261","Balzor",2022-04-19,"Black",7.58750000596046
"262","Balzor",2022-04-19,"White",5.8625001013279
"263","Balzor",2022-04-20,"Black",9.44999983906746
"264","Balzor",2022-04-20,"White",7.72499997913837
"265","Balzor",2022-04-21,"Black",8.28749990463257
"266","Balzor",2022-04-21,"White",6.74999994039536
"267","Balzor",2022-04-22,"Black",9.31249994039536
"268","Balzor",2022-04-22,"White",7.36249995231628
"269","Balzor",2022-04-23,"Black",8.78750002384186
"270","Balzor",2022-04-23,"White",6.67499995231628
"271","Balzor",2022-04-24,"Black",12.7874999046326
"272","Balzor",2022-04-24,"White",9.02500015497208
"273","Balzor",2022-04-25,"Black",12.637500166893
"274","Balzor",2022-04-25,"White",9.8500000834465
"275","Balzor",2022-04-26,"Black",12.1125001311302
"276","Balzor",2022-04-26,"White",9.88749980926514
"277","Balzor",2022-04-27,"Black",12.1500000357628
"278","Balzor",2022-04-27,"White",8.96249994635582
"279","Balzor",2022-04-28,"Black",9.7124999165535
"280","Balzor",2022-04-28,"White",7.28750002384186
"281","Balzor",2022-04-29,"Black",9.87500008940697
"282","Balzor",2022-04-29,"White",7.22499985992908
"283","Balzor",2022-04-30,"Black",8.97500005364418
"284","Balzor",2022-04-30,"White",7.17499987781048
"285","Balzor",2022-05-01,"Black",9.54999998211861
"286","Balzor",2022-05-01,"White",7.84999999403954
"287","Balzor",2022-05-02,"Black",7.52499994635582
"288","Balzor",2022-05-02,"White",6.56250005960464
"289","Balzor",2022-05-03,"Black",6.08750006556511
"290","Balzor",2022-05-03,"White",5.0375000089407
"291","Balzor",2022-05-04,"Black",12.5249999016523
"292","Balzor",2022-05-04,"White",10.1875001788139
"293","Balzor",2022-05-05,"Black",11.9374998807907
"294","Balzor",2022-05-05,"White",11.0250000357628
"295","Balzor",2022-05-06,"Black",11.5374999642372
"296","Balzor",2022-05-06,"White",10.3625000119209
"297","Balzor",2022-05-07,"Black",7.92500007152557
"298","Balzor",2022-05-07,"White",6.7749999165535
"299","Balzor",2022-05-08,"Black",9.96249982714653
"300","Balzor",2022-05-08,"White",7.71250000596046
"301","Balzor",2022-05-09,"Black",6.52499988675117
"302","Balzor",2022-05-09,"White",4.92500004172325
"303","Balzor",2022-05-10,"Black",7.26249995827675
"304","Balzor",2022-05-10,"White",5.39999993145466
"305","Balzor",2022-05-11,"Black",7.42499989271164
"306","Balzor",2022-05-11,"White",5.76249998807907
"307","Balzor",2022-05-12,"Black",9.33750003576279
"308","Balzor",2022-05-12,"White",7.51250001788139
"309","Balzor",2022-05-13,"Black",12.3374999165535
"310","Balzor",2022-05-13,"White",10.0250000357628
"311","Balzor",2022-05-14,"Black",14.0874997377396
"312","Balzor",2022-05-14,"White",11.9749999642372
"313","Balzor",2022-05-15,"Black",17.1499999761581
"314","Balzor",2022-05-15,"White",14.6374998688698
"315","Balzor",2022-05-16,"Black",17.8375000953674
"316","Balzor",2022-05-16,"White",15.1624999046326
"317","Balzor",2022-05-17,"Black",18.7749999165535
"318","Balzor",2022-05-17,"White",15.1875
"319","Balzor",2022-05-18,"Black",16.8875000476837
"320","Balzor",2022-05-18,"White",13.8874999880791
"321","Balzor",2022-05-19,"Black",12.0374997854233
"322","Balzor",2022-05-19,"White",9.46250009536743
"323","Balzor",2022-05-20,"Black",14.2249998450279
"324","Balzor",2022-05-20,"White",10.6750000119209
"325","Balzor",2022-05-21,"Black",14.9874999523163
"326","Balzor",2022-05-21,"White",11.5249999761581
"327","Balzor",2022-05-22,"Black",16.233333269755
"328","Balzor",2022-05-22,"White",12.7125000953674
"329","Balzor",2022-05-23,"Black",17.2666665712992
"330","Balzor",2022-05-23,"White",13.5750000476837
"331","Balzor",2022-05-24,"Black",19.3666667938232
"332","Balzor",2022-05-24,"White",15.1499996781349
"333","Balzor",2022-05-25,"Black",22.2499995231628
"334","Balzor",2022-05-25,"White",17.8250000476837
"335","Balzor",2022-05-26,"Black",23.2166662216187
"336","Balzor",2022-05-26,"White",19.2624999284744
"337","Balzor",2022-05-27,"Black",20.1999999682109
"338","Balzor",2022-05-27,"White",16.987499833107
"339","Balzor",2022-05-28,"Black",16.1166666348775
"340","Balzor",2022-05-28,"White",13.2875000238419
"341","Balzor",2022-05-29,"Black",8.50000007947286
"342","Balzor",2022-05-29,"White",7.74999994039536
"343","Balzor",2022-05-30,"Black",7.96666653951009
"344","Balzor",2022-05-30,"White",6.47499990463257
"345","Balzor",2022-05-31,"Black",14.6166666348775
"346","Balzor",2022-05-31,"White",11.7124997973442
"347","Balzor",2022-06-01,"Black",18.2666665712992
"348","Balzor",2022-06-01,"White",14.3874998688698
"349","Balzor",2022-06-02,"Black",19.5
"350","Balzor",2022-06-02,"White",16.4374997615814
"351","Balzor",2022-06-03,"Black",21.0499998728434
