PopNum,NewSiteCode,Latitude,Longitude,range,region,countryORstate,SeedSource,
181,Maron1,46.68,-114.03,invaded,WNA,Montana,ghS1,
182,Maron2,46.64,-113.23,invaded,WNA,Montana,ghS1,
186,Porensky30,40.63,-105.27,invaded,WNA,Colorado,ghS1,
187,Pyke21,47.61803776,-119.6830115,invaded,WNA,Washington,ghS1,
188,Pyke3,44.60456358,-120.1924183,invaded,WNA,Oregon,ghS1,
189,Pyke8,46.74830998,-119.361636,invaded,WNA,Washington,ghS1,
190,Pyle1,42.35,-118.65,invaded,WNA,Oregon,ghS1,
191,Pyle9,43.42,-119.62,invaded,WNA,Oregon,ghS1,
192,Pyle10,43.19,-120,invaded,WNA,Oregon,ghS1,
193,Pyle12,43.24,-120.4,invaded,WNA,Oregon,ghS2,
194,Pyle15,43.8,-119,invaded,WNA,Oregon,ghS1,
195,Pyle17,44.36,-118.93,invaded,WNA,Oregon,ghS1,
196,Pyle19,44.57,-119.65,invaded,WNA,Oregon,ghS1,
197,Reed1,38.52,-109.47,invaded,WNA,Utah,ghS1,
198,Reed3,38.75,-109.79,invaded,WNA,Utah,ghS1,
200,Schupp1,39.85,-112.15,invaded,WNA,Utah,ghS1,
201,Schupp2,40.2,-112.46,invaded,WNA,Utah,ghS1,
202,Schupp3,38.6,-113.79,invaded,WNA,Utah,ghS1,
203,Schupp4,38.52,-113.55,invaded,WNA,Utah,ghS1,
204,Schupp5,39.11,-112.74,invaded,WNA,Utah,ghS1,
205,Shriver2,48,-114.04,invaded,WNA,Montana,ghS1,
206,Symstad1,44.59,-104.71,invaded,WNA,Wyoming,ghS1,
207,Symstad2,43.87,-103.46,invaded,WNA,South_Dakota,ghS1,
208,Symstad3,43.62,-103.47,invaded,WNA,South_Dakota,ghS1,
212,Urza1,40.35,-119.34,invaded,WNA,Nevada,ghS1,
213,Urza2,40.84,-119.56,invaded,WNA,Nevada,ghS1,
214,Urza3,41.6,-120.2,invaded,WNA,California,ghS2,
215,Wilcox1,41.32,-105.54,invaded,WNA,Wyoming,ghS2,
216,Wilcox2,41.31,-105.66,invaded,WNA,Wyoming,ghS1,
218,Chynoweth1,39.76604,-109.5635,invaded,WNA,Utah,ghS1,
219,Chynoweth2,40.29092,-109.68361,invaded,WNA,Utah,ghS1,
220,Chynoweth3,39.83576,-109.61202,invaded,WNA,Utah,ghS2,
221,Chynoweth5,40.480805,-109.438229,invaded,WNA,Utah,ghS1,
222,Chynoweth7,40.533605,-109.523564,invaded,WNA,Utah,ghS1,
223,Chynoweth8,40.640878,-109.48689,invaded,WNA,Utah,ghS1,
224,GerminoBOP1,43.4720833,-116.2338306,invaded,WNA,Idaho,ghS1,
225,DocEnglishBluffER1,51.9413,-122.2757,invaded,WNA,British_Columbia,field,
226,SteelheadPP1,50.7532,-120.8696,invaded,WNA,British_Columbia,field,
227,NorthThompsonPP1,51.626117,-120.082572,invaded,WNA,British_Columbia,ghS1,
228,HaynesLease1,49.095,-119.525,invaded,WNA,British_Columbia,field,
237,KlamathMarshNWR1,42.968146,-121.573903,invaded,WNA,Oregon,field,
240,MarbleCanyon1,50.838,-121.709,invaded,WNA,British_Columbia,ghS1,
251,Dubois1,43.528122,-109.588172,invaded,WNA,Wyoming,field,
252,LincolnNF1,32.827545,-105.66178,invaded,WNA,New_Mexico,field,
253,ArkansasValley_CO,38.8157,-106.08334,invaded,WNA,Colorado,field,
254,ChacoCanyon_NM,36.01613,-107.92401,invaded,WNA,New_Mexico,field,
255,Jemez_NM,35.75782,-106.70213,invaded,WNA,New_Mexico,field,
256,ElPrado_NM,36.44828,-105.58631,invaded,WNA,New_Mexico,field,
259,Marysville1,49.630897,-115.96087,invaded,WNA,British_Columbia,field,
261,Lasky3,36.06511333,-112.1212283,invaded,WNA,Arizona,field,
272,SumnerRd1,46.698,-116.812,invaded,WNA,Idaho,field,
294,BoiseHigh,43.208482,-116.995198,invaded,WNA,Idaho,field,
295,Arcata1,40.876563,-123.997177,invaded,WNA,California,field,
