"","site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_year","site_numeric","site_year_numeric","year_numeric","neighbors.s","perennial.s","shrub.s","annual.s","Dataset","r_train","e_train","plot_index","idx","idx_site","Obs_Fitness","Obs_Fitness_log","Predicted_Fitness_PostPred_fixed","Predicted_Fitness_log_PostPred_fixed"
"21","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",4.6,"Y","Y",0,5,0.01556,0,NA,43.47110267,-119.6833963,0,0,1,0,"Satellite","322",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,-0.280624694864349,"Training",1,1,0,3,3,5,1.6094379124341,12.04425,-Inf
"22","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",4.8,"Y","Y",0,5,0.0055,0,NA,43.47110267,-119.6833963,5,0,10,0,"Satellite","323",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,0.495832503409791,-0.111867181655941,0.223597112804655,"Training",1,1,0,3,3,5,1.6094379124341,10.66325,-Inf
"23","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",5,"N","N",0,0,0.00786,0,NA,43.47110267,-119.6833963,0,0,1,0,"Satellite","324",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,-0.280624694864349,"Training",0,0,0,3,3,0,-Inf,11.13675,-Inf
"24","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",5.2,"Y","N",0,0,NA,0,"",43.47110267,-119.6833963,1,0,40,0,"Satellite","325",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,2.95880058486251,-0.111867181655941,-0.179780333330548,"Training",0,1,0,3,3,0,-Inf,5.21725,-Inf
"25","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",5.4,"Y","Y",0,3,0.00444,0,NA,43.47110267,-119.6833963,1,0,0,0,"Satellite","326",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.325156857074449,-0.111867181655941,-0.179780333330548,"Training",1,1,0,3,3,3,1.09861228866811,13.281,-Inf
"26","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",5.6,"Y","N",0,0,NA,0,NA,43.47110267,-119.6833963,0,0,10,0,"Satellite","327",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,0.495832503409791,-0.111867181655941,-0.280624694864349,"Training",0,1,0,3,3,0,-Inf,9.23,-Inf
"27","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",5.8,"N","N",0,0,0.00545,0,NA,43.47110267,-119.6833963,1,0,0,0,"Satellite","328",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.325156857074449,-0.111867181655941,-0.179780333330548,"Training",0,0,0,3,3,0,-Inf,12.74075,-Inf
"28","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",6,"Y","N",0,0,NA,0,NA,43.47110267,-119.6833963,0,0,0,0,"Satellite","329",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.325156857074449,-0.111867181655941,-0.280624694864349,"Training",0,1,0,3,3,0,-Inf,12.753,-Inf
"29","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",6.2,"Y","Y",0,7,0.00679,0,NA,43.47110267,-119.6833963,0,0,1,0,"Satellite","330",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,-0.280624694864349,"Training",1,1,0,3,3,7,1.94591014905531,12.02475,-Inf
"30","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",6.4,"N","N",0,0,0.0013,0,NA,43.47110267,-119.6833963,0,0,0,0,"Satellite","331",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.325156857074449,-0.111867181655941,-0.280624694864349,"Training",0,0,0,3,3,0,-Inf,12.39675,-Inf
"31","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",6.6,"N","N",0,0,NA,0,NA,43.47110267,-119.6833963,10,0,10,0,"Satellite","332",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,0.495832503409791,-0.111867181655941,0.727818920473658,"Training",0,0,0,3,3,0,-Inf,12.65975,-Inf
"32","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",6.8,"N","N",0,0,NA,0,NA,43.47110267,-119.6833963,0,0,20,0,"Satellite","333",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,1.31682186389403,-0.111867181655941,-0.280624694864349,"Training",0,0,0,3,3,0,-Inf,8.60075,-Inf
