"data_column","site_clean","bioclim_1","bioclim_2","bioclim_3","bioclim_4","bioclim_5","bioclim_6","bioclim_7","bioclim_8","bioclim_9","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","genotype","Latitude","Longitude","SNPmatrix_column","source"
"Downs02","Downs2",10.0789753120384,13.2707776295384,38.148699681009,798.959078674807,30.6459139784946,-4.14105842293907,34.7869724014337,0.959421266427718,19.7216272998805,20.0307532258065,0.54822890645691,321.264,48.5483333333333,7.36533333333333,46.6020143726654,126.426,26.1643333333333,38.4896666666667,119.710333333333,43,46.25045,-119.53334,39,"genotype"
"Downs03","Downs3",8.22670809236159,11.4526369077782,35.878110233549,750.554938731937,27.4379032258065,-4.4830559139785,31.920959139785,0.119360334528076,17.7421543010753,17.7421543010753,-0.434309566037514,520.588,96.68,4.833,68.0725776572908,251.794,26.964,26.964,241.897666666667,44,45.9663,-120.3671,40,"genotype"
"Fleishman_01","Fleishman1",8.11996144753724,15.6122620396855,45.3799837305895,692.892236024559,27.7815161290323,-6.62189426523297,34.4034103942652,0.226326315835938,16.9566860215054,17.0736193548387,0.226326315835938,557.775333333333,101.548666666667,7.352,75.0413219087432,278.547666666667,26.4423333333333,27.2883333333333,278.547666666667,45,38.47,-119.49,43,"genotype"
"Fleishman_05","Fleishman5",7.27341532166105,13.4697728552742,38.6808812709393,768.606416546448,26.8276344086022,-7.9951835125448,34.822817921147,5.51652186379928,17.0563451612903,17.3088155316607,-1.45382419722678,340.286666666667,44.9776666666667,12.5383333333333,39.3565092018536,127.232333333333,41.6603333333333,45.0773333333333,101.908666666667,46,39.12,-117.27,45,"genotype"
"Fleishman_07","Fleishman7",6.71099540954529,12.9704747577408,38.2544016344496,751.359490460482,25.7419892473118,-8.16384695340502,33.9058362007168,4.89610800477897,16.3350154121864,16.5479191158901,-1.75122391737439,364.203,49.275,11.1506666666667,41.3351731329428,139.06,41.8993333333333,46.521,107.491,47,39.17,-117.44,46,"genotype"
"Getts1","Getts1",8.70813099556532,15.5489194622479,42.9488852301243,737.102202930135,30.2507096774194,-5.95260358422939,36.2033132616487,1.08704581839904,18.2062329749104,18.2062329749104,0.380358151914826,479.236666666667,69.8813333333333,5.89633333333333,56.3821823988221,179.21,22.4843333333333,22.4843333333333,177.728,48,41.17,-120.5,47,"genotype"
"Getts3","Getts3",9.83412047807381,16.1614722743083,44.1111130141777,746.350146285232,31.4569892473118,-5.18110752688172,36.6380967741935,1.19495413451748,19.2470113500597,19.2608724611708,1.19495413451748,594.803666666667,103.346,3.105,76.977475807341,300.784,15.3176666666667,24.2423333333333,300.784,49,40.43,-120.67,48,"genotype"
"Holdrege1","Holdrege1",7.19396564767731,13.8390495128332,35.8571745099218,899.584579527356,29.2731612903226,-9.32176344086022,38.5949247311828,6.3166004181601,18.5021593787336,18.5021593787336,-3.78804732565873,505.378,57.772,14.8403333333333,35.8019047652422,171.743333333333,61.0173333333333,61.0173333333333,151.848666666667,51,41.61,-111.57,50,"genotype"
"Hufft1","Hufft1",10.2829253207194,15.017184957051,37.3663861287145,918.066501416552,31.9528387096774,-8.23618279569892,40.1890215053763,16.5848004778973,19.3646147550777,21.8763871565114,-0.942312874828587,346.702333333333,37.057,14.4203333333333,19.4212241739239,103.357333333333,72.178,72.2003333333333,86.1086666666667,52,38.6701,-108.3286,51,"genotype"
"Lavin01","Lavin1",6.40617588634638,13.720365391146,35.672123037439,897.195277779403,27.6793010752688,-10.7831290322581,38.4624301075269,10.2898329151732,-4.41318534350336,17.7951241338112,-4.41318534350336,316.470666666667,62.5136666666667,9.23533333333333,58.508662291631,143.315,33.143,92.686,33.143,59,44.68,-109.07,52,"genotype"
"Lavin02","Lavin2",6.76111688641406,14.2666069523162,37.772125892508,846.365677498436,28.4858494623656,-9.28434910394265,37.7701985663082,10.2510691158901,-3.37418944359106,17.4223209080048,-3.37418944359106,496.808,79.1393333333333,22.517,46.8811448310307,216.842333333333,73.0586666666667,139.610666666667,73.0586666666667,60,45.67,-111.03,53,"genotype"
