"SiteCode","climYr","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Sum","tmean.Sum","swe_mean.Sum","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall"
"K1_vanDiepen",2023,129.25,7.83521978021978,66.3710989010989,100.4,14.9750555555556,0,173.99,-5.78688172043011,70.6835483870968,151.58,-1.57010989010989,28.1016483516483
"K1_vanDiepen",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.28,1.01071428571428,6.77054945054945
"L1_vanDiepen",2020,124.55,9.09923076923077,55.2350549450549,38.97,16.5002222222222,0,81.34,-2.92989130434783,97.0935869565217,NA,NA,NA
"L1_vanDiepen",2021,120.28,9.40208791208791,9.16351648351648,109.96,16.6271111111111,0,40.74,-3.59172043010753,26.0550537634409,97.61,0.9,12.7094505494506
"L1_vanDiepen",2022,40.01,8.96840659340659,17.3357142857143,69.38,17.2147777777778,0,61.41,-4.4291935483871,55.0887096774194,57.56,2.62802197802198,1.19978021978022
"L1_vanDiepen",2023,97.75,8.96576923076923,4.29505494505495,116.6,16.3142222222222,0,58.36,-5.12016129032258,16.9150537634409,68.31,-0.781153846153845,13.6083516483516
"L1_vanDiepen",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,2.11571428571429,0.689230769230769
"MPG_IR",2020,458.84,10.5478571428571,0.0732967032967032,84.84,17.498,0,188.38,0.300271739130435,1.42336956521739,NA,NA,NA
"MPG_IR",2021,235.5,11.4931318681319,0,115.54,18.1853333333333,0,220.96,-0.657150537634409,14.9329032258065,268.42,1.70483516483517,3.09846153846154
"MPG_IR",2022,305.66,9.34115384615385,1.61912087912088,146.96,19.3013333333333,0,188.9,-0.915591397849462,61.6329032258065,280.76,2.84796703296703,1.20604395604396
"MPG_IR",2023,383.04,12.2303846153846,0.0146153846153846,175.06,18.0675,0,224.08,-2.21720430107527,2.16623655913979,248.34,-0.294395604395605,18.529010989011
"MPG_IR",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.46,2.58884615384615,0.455494505494506
"MPG_SR",2020,449.54,10.6305494505495,0.0341758241758242,73.94,17.5418888888889,0,162.32,0.401902173913043,1.03217391304348,NA,NA,NA
"MPG_SR",2021,213.52,11.5693956043956,0,118.44,18.2343333333333,0,212.64,-0.621129032258064,13.6181720430108,252.24,1.81016483516483,2.77131868131868
"MPG_SR",2022,306.28,9.43010989010989,0.814945054945054,148.06,19.3138333333333,0,177.64,-0.816182795698924,57.8072043010753,280.76,2.95307692307692,1.03098901098901
"MPG_SR",2023,380.26,12.2598351648352,0.0105494505494505,164.14,18.0947777777778,0,216.52,-2.14618279569893,2.00688172043011,243.46,-0.269560439560441,18.0815384615385
"MPG_SR",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.62,2.6471978021978,0.434945054945055
"MPG_TH",2020,456.64,10.5936263736264,0.0341758241758241,75.62,17.5172222222222,0,178.94,0.357119565217391,1.33021739130435,NA,NA,NA
"MPG_TH",2021,233.56,11.5347802197802,0.00142857142857143,119.04,18.2113888888889,0,219.2,-0.646129032258065,15.1216129032258,259.64,1.76549450549451,2.87263736263736
"MPG_TH",2022,306.76,9.39120879120879,1.12263736263736,147.18,19.3023333333333,0,178.3,-0.86016129032258,59.4674193548387,285.16,2.90895604395604,1.19692307692308
"MPG_TH",2023,375.12,12.2408241758242,0.0120879120879121,167.88,18.0780555555556,0,219.66,-2.18172043010753,2.05591397849462,245.56,-0.287747252747251,18.3347252747253
"MPG_TH",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.32,2.62296703296703,0.444615384615385
"NEAR 4WAY CPER",2020,191.06,13.3578571428571,0.118131868131868,76.38,20.6456666666667,0,76.42,0.694836956521739,0.891413043478261,NA,NA,NA
"NEAR 4WAY CPER",2021,494.94,13.0976373626374,0.0102197802197802,82.34,20.9916666666667,0,115.38,-0.920591397849462,3.90623655913978,65.7,4.05813186813187,2.69527472527472
"NEAR 4WAY CPER",2022,156.52,13.5316483516484,0,153.08,21.5412777777778,0,74.04,-0.791021505376344,3.11612903225806,28.38,6.03208791208791,0
"NEAR 4WAY CPER",2023,396.4,13.1056593406593,0.358571428571428,278.02,20.0723888888889,0,76.7,-1.67456989247312,6.19967741935484,31.58,2.47917582417583,0.653846153846154
"NEAR 4WAY CPER",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.82,5.18467032967033,0.997362637362637
"NEAR HQ CPER",2020,176.96,13.0973076923077,0.141208791208791,96.74,20.4659444444444,0,82.08,0.525869565217391,1.76369565217391,NA,NA,NA
"NEAR HQ CPER",2021,467.62,12.8478571428571,0.17967032967033,105.44,20.7863888888889,0,123.14,-1.04994623655914,3.89817204301075,78.04,3.98142857142857,3.28076923076923
"NEAR HQ CPER",2022,148.88,13.2577472527473,0.0235164835164835,159.2,21.3301666666667,0,76.42,-0.853172043010753,2.73989247311828,37.54,5.92318681318681,0
"NEAR HQ CPER",2023,440.12,12.8525274725275,0.33978021978022,299.32,19.8667222222222,0,79.64,-1.72360215053763,5.28430107526882,32.94,2.385,0.44967032967033
"NEAR HQ CPER",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.98,5.09274725274725,1.04285714285714
