site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,site,lat,lon
K1_vanDiepen 2022,4.4054453601076435,15.001203230735504,39.87601622450401,833.2353073254242,25.716516129032257,-11.903097491039427,37.61961362007168,3.219692174432497,15.052786320191158,15.052786320191158,-5.519027400668585,545.1126666666667,66.514,27.140333333333334,25.777121550039002,179.35399999999998,90.15866666666666,90.15866666666666,146.525,K1_vanDiepen 2022,41.221569,-106.136433
L1_vanDiepen 2022,5.390136956664078,15.789900622163957,40.75919881736731,845.7885725231845,27.2942688172043,-11.445208602150538,38.73947741935484,8.833000477897253,-4.689131265338912,16.213035543608125,-4.689131265338912,370.3196666666666,50.261,21.293666666666667,26.87269401616081,128.042,68.054,96.216,68.054,L1_vanDiepen 2022,41.217483,-105.925447
MPG_IR 2021,7.032594209210998,13.41414771196391,36.68139910586658,835.4068349782974,28.789602150537636,-7.779743727598566,36.569345878136204,10.647325985663082,17.202259199522103,17.579449940262844,-2.869683318472612,485.00499999999994,62.858333333333334,25.506,26.226065260448877,157.07933333333335,82.14966666666666,114.33466666666666,126.19333333333333,MPG_IR 2021,46.691,-114.022
MPG_IR 2022,7.032594209210998,13.41414771196391,36.68139910586658,835.4068349782974,28.789602150537636,-7.779743727598566,36.569345878136204,10.647325985663082,17.202259199522103,17.579449940262844,-2.869683318472612,485.00499999999994,62.858333333333334,25.506,26.226065260448877,157.07933333333335,82.14966666666666,114.33466666666666,126.19333333333333,MPG_IR 2022,46.691,-114.022
MPG_SR 2021,7.108018348282336,13.574678196232146,36.97985562015171,834.4564537851804,28.943591397849463,-7.764713620071685,36.70830501792115,10.73469952210275,17.253263978494626,17.63786768219833,-2.793672962904109,463.26800000000003,60.95766666666667,24.721333333333334,26.592656130840016,152.74900000000002,80.302,111.50533333333334,116.88833333333334,MPG_SR 2021,46.664,-114.001
MPG_SR 2022,7.108018348282336,13.574678196232146,36.97985562015171,834.4564537851804,28.943591397849463,-7.764713620071685,36.70830501792115,10.73469952210275,17.253263978494626,17.63786768219833,-2.793672962904109,463.26800000000003,60.95766666666667,24.721333333333334,26.592656130840016,152.74900000000002,80.302,111.50533333333334,116.88833333333334,MPG_SR 2022,46.664,-114.001
MPG_TH 2021,7.074570640364662,13.52069621272313,36.87821544223765,834.8676321440267,28.88279569892473,-7.780302150537635,36.66309784946237,10.697578853046593,17.229145878136205,17.610692174432497,-2.8290727551482835,472.80199999999996,61.809,25.435666666666666,26.16360969791269,154.61700000000002,81.81966666666666,113.36933333333333,120.51599999999999,MPG_TH 2021,46.673,-114.006
MPG_TH 2022,7.074570640364662,13.52069621272313,36.87821544223765,834.8676321440267,28.88279569892473,-7.780302150537635,36.66309784946237,10.697578853046593,17.229145878136205,17.610692174432497,-2.8290727551482835,472.80199999999996,61.809,25.435666666666666,26.16360969791269,154.61700000000002,81.81966666666666,113.36933333333333,120.51599999999999,MPG_TH 2022,46.673,-114.006
NEAR 4WAY CPER 2022,9.099409719095584,16.004382163824,40.23107780510558,884.5796938283138,30.714,-9.067141935483871,39.78114193548387,17.75330681003584,-1.419992127201888,20.465878494623656,-1.419992127201888,350.58833333333337,61.48566666666667,6.2973333333333334,62.606996827783846,160.7026666666667,21.648333333333333,136.08233333333334,21.648333333333333,NEAR 4WAY CPER 2022,40.812673,-104.714491
NEAR 4WAY CPER 2023,9.099409719095584,16.004382163824,40.23107780510558,884.5796938283138,30.714,-9.067141935483871,39.78114193548387,17.75330681003584,-1.419992127201888,20.465878494623656,-1.419992127201888,350.58833333333337,61.48566666666667,6.2973333333333334,62.606996827783846,160.7026666666667,21.648333333333333,136.08233333333334,21.648333333333333,NEAR 4WAY CPER 2023,40.812673,-104.714491
NEAR HQ CPER 2022,8.914959250909298,15.810842705372224,40.11791933531057,877.7435068186369,30.40006451612903,-9.010859498207886,39.41092401433691,17.483400597371563,-1.4895815148813203,20.215920310633212,-1.4895815148813203,370.9973333333333,66.12,6.7556666666666665,62.656607334941285,169.12800000000001,22.803,140.59833333333336,22.803,NEAR HQ CPER 2022,40.835791,-104.763785
NEAR HQ CPER 2023,8.914959250909298,15.810842705372224,40.11791933531057,877.7435068186369,30.40006451612903,-9.010859498207886,39.41092401433691,17.483400597371563,-1.4895815148813203,20.215920310633212,-1.4895815148813203,370.9973333333333,66.12,6.7556666666666665,62.656607334941285,169.12800000000001,22.803,140.59833333333336,22.803,NEAR HQ CPER 2023,40.835791,-104.763785
NEAR NUTNET 2022,8.971679812409143,15.898787716436841,40.16033755839466,881.4892974595404,30.533591397849463,-9.054690681003585,39.58828207885305,17.5867335125448,-1.4879107384159946,20.313995161290322,-1.4879107384159946,359.453,63.791000000000004,6.150333333333333,62.98617638053434,164.06133333333332,21.201333333333334,139.195,21.201333333333334,NEAR NUTNET 2022,40.839464,-104.717125
NEAR NUTNET 2023,8.971679812409143,15.898787716436841,40.16033755839466,881.4892974595404,30.533591397849463,-9.054690681003585,39.58828207885305,17.5867335125448,-1.4879107384159946,20.313995161290322,-1.4879107384159946,359.453,63.791000000000004,6.150333333333333,62.98617638053434,164.06133333333332,21.201333333333334,139.195,21.201333333333334,NEAR NUTNET 2023,40.839464,-104.717125
OttS1 2022,8.696520731331404,14.251495811851498,34.5265625521573,1003.0337259413665,30.658698924731183,-10.618204301075268,41.27690322580645,13.10400459976105,-3.446317194148701,21.37475818399044,-3.446317194148701,502.93300000000005,90.371,10.2,64.54322651435822,233.664,35.785666666666664,190.1223333333333,35.785666666666664,OttS1 2022,43.777398,-102.607243
PMR- Brome 2021,7.554392035168412,14.199430596165051,39.23230706862208,817.8092555341573,27.55837634408602,-8.634831899641577,36.1932082437276,10.750545041816011,-2.025327020616676,18.15840788530466,-2.025327020616676,525.0406666666668,83.972,15.550333333333333,49.981269060519345,209.52566666666667,51.21133333333333,166.62566666666666,51.21133333333333,PMR- Brome 2021,40.625,-105.271
PMR- Brome 2022,7.554392035168412,14.199430596165051,39.23230706862208,817.8092555341573,27.55837634408602,-8.634831899641577,36.1932082437276,10.750545041816011,-2.025327020616676,18.15840788530466,-2.025327020616676,525.0406666666668,83.972,15.550333333333333,49.981269060519345,209.52566666666667,51.21133333333333,166.62566666666666,51.21133333333333,PMR- Brome 2022,40.625,-105.271
PMR- Pine 2021,7.554392035168412,14.199430596165051,39.23230706862208,817.8092555341573,27.55837634408602,-8.634831899641577,36.1932082437276,10.750545041816011,-2.025327020616676,18.15840788530466,-2.025327020616676,525.0406666666668,83.972,15.550333333333333,49.981269060519345,209.52566666666667,51.21133333333333,166.62566666666666,51.21133333333333,PMR- Pine 2021,40.625,-105.271
