"site1","site2","kinship_avg","lat1","lon1","lat2","lon2"
"AAFC4","AAFC5",0.728308610291814,50.08,-120.65,50.09,-120.45
"AAFC5","AAFC5",0.999999999999998,50.09,-120.45,50.09,-120.45
"AAFC6","AAFC5",0.663658680244957,50.09,-120.75,50.09,-120.45
"AAFC8","AAFC5",0.73950296954585,49.57,-120.55,50.09,-120.45
"AAFC9","AAFC5",0.790096307384155,49.62,-119.8,50.09,-120.45
"AAFC10","AAFC5",0.79007530746469,49.71,-120.05,50.09,-120.45
"Adler5","AAFC5",0.711419095751831,40.79,-111.87,50.09,-120.45
"Schupp2","AAFC5",0.704602719371941,40.2,-112.46,50.09,-120.45
"Schupp1","AAFC5",0.657744927139982,39.85,-112.15,50.09,-120.45
"Adler13","AAFC5",0.669595900163163,41.44,-111.08,50.09,-120.45
"Adler16","AAFC5",0.67173445476677,41.78,-110.2,50.09,-120.45
"Adler17","AAFC5",0.67188798112039,41.44,-110.11,50.09,-120.45
"Adler18","AAFC5",0.689107084631714,40.86,-114.22,50.09,-120.45
"Barnett1","AAFC5",0.704394390822388,43.48,-110.74,50.09,-120.45
"Baughman3","AAFC5",0.783805652988699,42.81,-118.96,50.09,-120.45
"Baughman2","AAFC5",0.679048980761178,43.05,-118.87,50.09,-120.45
"Chynoweth1","AAFC5",0.673287266711694,39.76604,-109.5635,50.09,-120.45
"Board1","AAFC5",0.721814055701715,38.84,-117.57,50.09,-120.45
"Bradford1","AAFC5",0.721334233298565,35.23,-111.62,50.09,-120.45
"Chambers1","AAFC5",0.641370255451231,39.55,-119.58,50.09,-120.45
"Chambers2","AAFC5",0.634734205123155,39.95,-118.76,50.09,-120.45
"Urza1","AAFC5",0.634888850614308,40.35,-119.34,50.09,-120.45
"Chambers4","AAFC5",0.634697924409097,41.31,-117.63,50.09,-120.45
"Chambers5","AAFC5",0.630124876381827,41.54,-117.75,50.09,-120.45
"Chambers6","AAFC5",0.630091567666924,41.54,-117.78,50.09,-120.45
"Chambers7","AAFC5",0.694836148103341,43.94,-116.19,50.09,-120.45
"Chambers8","AAFC5",0.672414182428935,42.24,-114.57,50.09,-120.45
"Chambers9","AAFC5",0.673304574405366,40.66,-116.73,50.09,-120.45
"Copeland1","AAFC5",0.673372000270756,43.7,-117.33,50.09,-120.45
"Copeland5","AAFC5",0.725439878935346,42.27,-118.71,50.09,-120.45
"Copeland9","AAFC5",0.67194263686764,43.47,-119.68,50.09,-120.45
"Downs1","AAFC5",0.658516885959097,46.38145,-119.430272,50.09,-120.45
"Downs2","AAFC5",0.719763709025356,46.25045,-119.53334,50.09,-120.45
"Downs3","AAFC5",0.649289033023029,45.9663,-120.3671,50.09,-120.45
"Fleishman1","AAFC5",0.69180248834018,38.47,-119.49,50.09,-120.45
"Fleishman5","AAFC5",0.648323384013816,39.12,-117.27,50.09,-120.45
"Fleishman7","AAFC5",0.741832882655846,39.17,-117.44,50.09,-120.45
"Getts1","AAFC5",0.65995645143829,41.17,-120.5,50.09,-120.45
"Getts3","AAFC5",0.74316870951598,40.43,-120.67,50.09,-120.45
"Holdrege1","AAFC5",0.704017325509479,41.61,-111.57,50.09,-120.45
"Hufft1","AAFC5",0.646788054162327,38.6701,-108.3286,50.09,-120.45
"Lavin1","AAFC5",0.671520483755776,44.68,-109.07,50.09,-120.45
"Lavin2","AAFC5",0.787637081837552,45.67,-111.03,50.09,-120.45
"Lee1","AAFC5",0.634783833838189,36.82340833,-116.0163889,50.09,-120.45
"Lee2","AAFC5",0.626518999385053,35.3984,-115.7845,50.09,-120.45
"Lee3","AAFC5",0.634618142690577,36.5247,-115.8987,50.09,-120.45
"Lee4","AAFC5",0.630989643925818,35.4564,-115.52,50.09,-120.45
"Leger1","AAFC5",0.652335907661453,39.49,-119.84,50.09,-120.45
"Maron1","AAFC5",0.672117509172993,46.68,-114.03,50.09,-120.45
"Maron2","AAFC5",0.671680522011088,46.64,-113.23,50.09,-120.45
"Porensky30","AAFC5",0.759780702359074,40.63,-105.27,50.09,-120.45
"Pyke3","AAFC5",0.73365585311021,44.60456358,-120.1924183,50.09,-120.45
"Pyke8","AAFC5",0.632116792564256,46.74830998,-119.361636,50.09,-120.45
"Pyke21","AAFC5",0.683970610566428,47.61803776,-119.6830115,50.09,-120.45
"Pyle1","AAFC5",0.73735582201385,42.35,-118.65,50.09,-120.45
"Pyle9","AAFC5",0.671671086141907,43.42,-119.62,50.09,-120.45
"Pyle10","AAFC5",0.648427630763771,43.19,-120,50.09,-120.45
"Pyle15","AAFC5",0.760035863197972,43.8,-119,50.09,-120.45
"Pyle17","AAFC5",0.793228288035726,44.36,-118.93,50.09,-120.45
"Pyle19","AAFC5",0.64149681254052,44.57,-119.65,50.09,-120.45
"Reed1","AAFC5",0.670517922563433,38.52,-109.47,50.09,-120.45
"Reed3","AAFC5",0.656634545922727,38.75,-109.79,50.09,-120.45
"Schupp3","AAFC5",0.656296835240676,38.6,-113.79,50.09,-120.45
"Schupp4","AAFC5",0.673193768703675,38.52,-113.55,50.09,-120.45
"Schupp5","AAFC5",0.677937149515695,39.11,-112.74,50.09,-120.45
"Symstad1","AAFC5",0.680934889304842,44.59,-104.71,50.09,-120.45
"Symstad2","AAFC5",0.675842574860859,43.87,-103.46,50.09,-120.45
"Symstad3","AAFC5",0.681369684770274,43.62,-103.47,50.09,-120.45
"Urza2","AAFC5",0.726108993674698,40.84,-119.56,50.09,-120.45
"Wilcox2","AAFC5",0.633910935346345,41.31,-105.66,50.09,-120.45
"Chynoweth2","AAFC5",0.648668636719257,40.29092,-109.68361,50.09,-120.45
"Chynoweth3","AAFC5",0.634177325324145,39.83576,-109.61202,50.09,-120.45
"Chynoweth5","AAFC5",0.672873323013723,40.480805,-109.438229,50.09,-120.45
"Chynoweth7","AAFC5",0.673703282666804,40.533605,-109.523564,50.09,-120.45
"Chynoweth8","AAFC5",0.648325125829289,40.640878,-109.48689,50.09,-120.45
"Shriver2","AAFC5",0.704299328675861,48,-114.04,50.09,-120.45
"Davies03","AAFC5",0.721571576930309,42.68,-118.68,50.09,-120.45
"GerminoBOP1","AAFC5",0.679295817012181,43.4720833,-116.2338306,50.09,-120.45
"Mancillas01","AAFC5",0.647649575357515,32.368,-106.56,50.09,-120.45
"Boise_High 2022","AAFC5",0.802981673725785,NA,NA,50.09,-120.45
"Boise_Low 2022","AAFC5",0.75459021914134,NA,NA,50.09,-120.45
"CG PASTURE 2022","AAFC5",0.799355601403651,NA,NA,50.09,-120.45
"CaseAoyamaS1 2022","AAFC5",0.796102305124013,NA,NA,50.09,-120.45
"CastValley 2021","AAFC5",0.718595509025283,NA,NA,50.09,-120.45
"EOARC 2022","AAFC5",0.798061103203412,NA,NA,50.09,-120.45
"EnsingS1 SuRDC 2022","AAFC5",0.803679237928091,NA,NA,50.09,-120.45
