"Category","ID","Latitude","Longitude","Date","SMAP_Tile","SPL3SMP_E_006_Line_Y_9km","SPL3SMP_E_006_Sample_X_9km","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_dca","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scah","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scav","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_clay_fraction_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_dca_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_error_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scah_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scav_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_surface_temperature_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_vegetation_water_content_pm"
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-12","h00v00",255,674,0.1458037,0.1458037,0.0616531,0.1241084,275.2150879,0.2238095,0.2331574,-9999,0.2331574,0.1325419,0.1919317,275.440918,0.2949929
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-13","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2086548,-9999,0.2086548,0.130023,0.1769228,275.4943542,0.29473
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-14","h00v00",255,674,0.1774057,0.1774057,0.0952532,0.1479767,275.4201355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-15","h00v00",255,674,0.1460044,0.1460044,0.0727406,0.1253253,275.3682861,0.2238095,0.1982612,-9999,0.1982612,0.1228379,0.170697,276.3544006,0.294224
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-16","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-17","h00v00",255,674,0.1391451,0.1391451,0.0568175,0.1198395,275.2478638,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-18","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,-9999,-9999,-9999,-9999,-9999,274.9029236,0.3024444
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-19","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-20","h00v00",255,674,-9999,-9999,-9999,-9999,273.6118164,0.2238095,-9999,-9999,-9999,-9999,-9999,274.6680603,0.3080499
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-21","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1896916,-9999,0.1896916,0.113081,0.1620333,274.7669678,0.3108119
