site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,NewSiteCode,PopNum,Latitude,Longitude
Getts3,9.834120478073814,16.161472274308313,44.111113014177704,746.3501462852323,31.456989247311828,-5.18110752688172,36.63809677419355,1.1949541345174828,19.247011350059736,19.260872461170845,1.1949541345174828,594.8036666666667,103.346,3.105,76.97747580734104,300.784,15.317666666666668,24.24233333333333,300.784,Getts3,163,40.43,-120.67
Getts4,4.800339015756778,10.275664809738627,35.18747300000748,686.0722755306974,22.345064516129032,-6.85755770609319,29.20262222222222,-2.522653733866554,14.082617323775388,14.082617323775388,-2.522653733866554,936.9806666666665,140.58466666666666,9.262,60.32306675556426,365.0106666666667,37.95966666666667,37.95966666666667,365.0106666666667,Getts4,164,41.71,-120.28
GilaSpgs_NM,12.514550244760493,18.897433208120724,51.46355686990983,708.8635956410382,31.4743,-5.245729390681004,36.720029390681006,20.706287933094384,15.871890621266425,21.452086081242538,3.979567466497166,404.8096666666667,79.23,9.455333333333334,66.16891950654065,203.63533333333334,40.48833333333333,173.50566666666668,85.25399999999999,GilaSpgs_NM,26,33.23028,-108.25768
HaynesLease1,10.148009658181342,11.741437858864346,33.85128367134541,870.4768145728949,30.59783870967742,-4.087516129032258,34.68535483870968,14.629951553166071,20.284749522102747,20.90186989247312,-0.4645125620177621,342.55966666666666,45.42133333333334,14.956333333333333,32.58129400418703,109.19666666666667,55.08266666666667,83.13366666666667,94.85333333333334,HaynesLease1,228,49.095,-119.525
Holdrege1,7.193965647677313,13.839049512833189,35.85717450992182,899.584579527356,29.27316129032258,-9.321763440860215,38.59492473118279,6.316600418160096,18.502159378733573,18.502159378733573,-3.788047325658727,505.378,57.772000000000006,14.840333333333332,35.801904765242234,171.74333333333334,61.017333333333326,61.017333333333326,151.84866666666665,Holdrege1,165,41.61,-111.57
Hufft1,10.282925320719377,15.017184957051045,37.366386128714524,918.0665014165517,31.95283870967742,-8.236182795698925,40.189021505376346,16.584800477897254,19.364614755077657,21.876387156511353,-0.9423128748285867,346.70233333333334,37.057,14.420333333333334,19.42122417392387,103.35733333333333,72.178,72.20033333333333,86.10866666666666,Hufft1,166,38.6701,-108.3286
IceCaves_NM,8.268298270822665,16.903094629320645,45.54342537097958,777.9617223407703,27.59405376344086,-9.520182795698926,37.11423655913978,17.218108482676225,12.005638172043012,18.040806630824374,-1.1576159967571258,378.703,67.75133333333333,11.584000000000001,55.33656118254852,173.28966666666668,48.73733333333334,146.11200000000002,80.62666666666667,IceCaves_NM,24,35.00007,-108.07323
IronCreek_NM,11.631567024501063,13.865443100505559,43.45058829638166,692.3372470275226,28.161377777777776,-3.749451612903226,31.910829390681002,19.180766427718037,11.102637574671446,20.231353464755077,3.186440618912254,497.89633333333336,104.38266666666667,8.667,76.00519185954884,271.878,39.55066666666667,231.56900000000002,97.988,IronCreek_NM,25,32.90961,-107.8039
Jemez_NM,11.017143064163003,17.49950205445792,44.39314793239574,842.1753035666368,31.675333333333334,-7.744043010752688,39.419376344086025,20.67425035842294,15.170031959378733,21.564991099163677,0.7435426867595387,393.903,59.92433333333333,16.636666666666667,41.34301818991362,158.28133333333332,60.34433333333334,135.66733333333332,85.291,Jemez_NM,255,35.75782,-106.70213
KlamathMarshNWR1,7.553185090172208,16.027351821615433,45.68954177018118,680.1672854394386,28.942709677419355,-6.136109677419355,35.07881935483871,0.3494362007168461,16.337668458781362,16.337668458781362,-0.16714052342108512,559.9566666666667,111.14433333333332,4.029333333333334,74.34142411998253,279.364,21.452666666666666,21.452666666666666,275.61066666666665,KlamathMarshNWR1,237,42.968146,-121.573903
