"SiteCode","UniqueID","SampleDescription","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_old"
"EnsingS3 Bear Creek",67,"Ensing S3 Kelowna, BC (W) #3",7.78,141.8,4.08,9.47,66.072,9.928,24,"EnsingS3 Bear Creek"
"SouthEden",68,"South Eden 2024 #1",6.71,141.7,2.67,4.64,76,6.144,17.856,"SouthEden"
"SouthEden",69,"South Eden 2024 #2",7.11,161.2,1.93,3.54,76,6.144,17.856,"SouthEden"
"SouthEden",70,"South Eden 2024 #3",6.42,93.9,1.86,2.83,76,6.144,17.856,"SouthEden"
"EnsingS4 Lundbom",71,"Ensing S4 Merritt, BC (N) #1",6.15,85.14,7.05,8.66,66.144,8.072,25.784,"EnsingS4 Lundbom"
"EnsingS4 Lundbom",72,"Ensing S4 Merritt, BC (S) #2",6.54,145.9,7.4,10.08,66.144,8.072,25.784,"EnsingS4 Lundbom"
"EnsingS4 Lundbom",73,"Ensing S4 Merritt, BC (W) #3",6.59,148.5,8.62,11.64,66.144,8.072,25.784,"EnsingS4 Lundbom"
"FtK_Lone_Pine",74,"Fort Keogh Lone Pine 6/16/22 #1",5.82,635.9,3.33,6.6,72.1039386029825,6.52721490519835,21.3688464918191,"FtK_Lone_Pine"
"FtK_Lone_Pine",75,"Fort Keogh Lone Pine 6/16/22 #2",5.92,131.1,2.9,5.13,72.1039386029825,6.52721490519835,21.3688464918191,"FtK_Lone_Pine"
"FtK_Lone_Pine",76,"Fort Keogh Lone Pine 6/16/22 #3",6.22,141.5,2.87,5.69,72.1039386029825,6.52721490519835,21.3688464918191,"FtK_Lone_Pine"
"Woodruff",77,"Woodruff #1",6.99,142.4,2.07,3.46,47.928,10.072,42,"Woodruff"
"Woodruff",78,"Woodruff #2",7.27,152,2.17,3.06,47.928,10.072,42,"Woodruff"
"Woodruff",79,"Woodruff #3",7.27,192.5,1.97,3.1,47.928,10.072,42,"Woodruff"
"EnsingS1 SuRDC",80,"Ensing S1 Summerland, BC #1",6.98,380.4,2,5.27,82.144,4.072,13.784,"EnsingS1 SuRDC"
"EnsingS1 SuRDC",81,"Ensing S1 Summerland, BC #2",6.84,325.5,1.99,4.89,82.144,4.072,13.784,"EnsingS1 SuRDC"
"EnsingS1 SuRDC",82,"Ensing S1 Summerland, BC #3",6.99,357.8,2.05,5.02,82.144,4.072,13.784,"EnsingS1 SuRDC"
"GreenCanyon",83,"Green Canyon #1",8.15,208.8,2.92,2.84,46.144,18.072,35.784,"GreenCanyon"
"GreenCanyon",84,"Green Canyon #2",8.19,239.6,3.33,3.56,46.144,18.072,35.784,"GreenCanyon"
"GreenCanyon",85,"Green Canyon #3",8.21,216.2,3.39,3.58,46.144,18.072,35.784,"GreenCanyon"
"L1_vanDiepen",86,"Li-Van Diepen Soil <2mm #1",6.23,262.7,4.65,7.84,74.072,8.072,17.856,"L1_vanDiepen"
"L1_vanDiepen",87,"Li-Van Diepen Soil <2mm #2",6.52,178.3,4.27,7.9,74.072,8.072,17.856,"L1_vanDiepen"
"L1_vanDiepen",88,"Li-Van Diepen Soil <2mm #3",6.77,198.4,4.22,7.08,74.072,8.072,17.856,"L1_vanDiepen"
"MPG_IR",89,"MPG-IR 7/26/21 #1",6.16,250,9.84,13.16,63.4415418386861,11.0454873409968,25.5129708203171,"MPG_IR"
"MPG_IR",90,"MPG-IR 7/26/21 #2",6.25,198.2,8.2,12.6,63.4415418386861,11.0454873409968,25.5129708203171,"MPG_IR"
"MPG_IR",91,"MPG-IR 7/26/21 #3",5.95,227.2,11.54,16.92,63.4415418386861,11.0454873409968,25.5129708203171,"MPG_IR"
"K1_vanDiepen",92,"KI-Van Diepen Soil <2mm #1",6.02,266.3,6.17,11.97,80.072,6.072,13.856,"K1_vanDiepen"
"K1_vanDiepen",93,"KI-Van Diepen Soil <2mm #2",5.89,1267,12,23.24,80.072,6.072,13.856,"K1_vanDiepen"
"K1_vanDiepen",94,"KI-Van Diepen Soil <2mm #3",6.18,300.6,3.61,7.5,80.072,6.072,13.856,"K1_vanDiepen"
"CastValley",95,"Cast Valley 5/11/21 #1",8.39,333.2,0.41,0.29,62.072,18.072,19.856,"CastValley"
"CastValley",96,"Cast Valley 5/11/21 #2",8.31,396.4,0.41,0.07,62.072,18.072,19.856,"CastValley"
"CastValley",97,"Cast Valley 5/11/21 #3",8.54,300.9,0.41,0.14,62.072,18.072,19.856,"CastValley"
"SSHigh",98,"Satellite SS High #1",6.52,626.9,5.56,6.04,54,16.216,29.784,"SSHigh"
"SSHigh",99,"Satellite SS High #2",6.48,82.16,5.97,8.09,54,16.216,29.784,"SSHigh"
"SSHigh",100,"Satellite SS High #3",6.71,69.41,4.9,5.06,54,16.216,29.784,"SSHigh"
"HardwareRanch",101,"Satellite Hardware Ranch #1",6.96,219.2,7.75,8.23,61.8061067303753,11.1386435527851,27.0552497168396,"HardwareRanch"
"HardwareRanch",102,"Satellite Hardware Ranch #2",7.7,212.8,6.28,4.53,61.8061067303753,11.1386435527851,27.0552497168396,"HardwareRanch"
"HardwareRanch",103,"Satellite Hardware Ranch #3",7.85,247.1,8.28,7.91,61.8061067303753,11.1386435527851,27.0552497168396,"HardwareRanch"
"SS",104,"SSHQ 2024 #1",8,224.5,4.03,3.8,64,10.216,25.784,"SS"
"SS",105,"SSHQ 2024 #2",8.06,225.6,3.9,3.1,64,10.216,25.784,"SS"
"SS",106,"SSHQ 2024 #3",8.16,202.8,3.96,3.4,64,10.216,25.784,"SS"
"SSHQ",107,"Satellite SSHQ #1",8.14,150.6,4.04,3.55,57.928,14.072,28,"SSHQ"
"SSHQ",108,"Satellite SSHQ #2",8.19,169.8,3.73,3.42,57.928,14.072,28,"SSHQ"
"SSHQ",109,"Satellite SSHQ #3",8.17,173.3,4.24,4.26,57.928,14.072,28,"SSHQ"
"EnsingS2 Summerland-Princeton",110,"Ensing S2 Summerland 1 Princeton BC (E) #1",8.29,101.5,1.32,2.41,81.928,4.072,14,"EnsingS2 Summerland-Princeton"
"EnsingS2 Summerland-Princeton",111,"Ensing S2 Summerland 1 Princeton BC (S) #2",7.17,67.65,1.95,5.22,81.928,4.072,14,"EnsingS2 Summerland-Princeton"
"EnsingS2 Summerland-Princeton",112,"Ensing S2 Summerland 1 Princeton BC (W) #3",6.86,76.37,4.22,9.68,81.928,4.072,14,"EnsingS2 Summerland-Princeton"
"EOARC",113,"EO ARC #1",7.01,52.34,3.53,3.57,66.144,12.072,21.784,"EOARC"
"EOARC",114,"EO ARC #2",7.12,59.35,3.45,3.25,66.144,12.072,21.784,"EOARC"
"EOARC",115,"EO ARC #3",6.93,74.82,4.32,4.25,66.144,12.072,21.784,"EOARC"
"EOARC",116,"EO ARC #4",6.99,70.27,3.65,2.23,66.144,12.072,21.784,"EOARC"
"EOARC",117,"EO ARC #5",7.02,46.29,3.36,2.38,66.144,12.072,21.784,"EOARC"
"EOARC",118,"EO ARC #6",7.14,41.19,4.35,2.39,66.144,12.072,21.784,"EOARC"
