site,genotype,lon,lat,ann.mean.tmp,mean.diurn.rng,isotherm,tmp.seas,max.tmp.wrm.m,min.tmp.cld.m,tmp.ann.rng,mean.tmp.wet.q,mean.tmp.dry.q,mean.tmp.wrm.q,mean.tmp.cld.q,ann.prc,prc.wet.m,prc.dry.m,prc.seas,prc.wet.q,prc.dry.q,prc.wrm.q,prc.cld.q
Chynoweth03,97,-109.61202,39.83576,13.149999618530273,13.5,0.3276561200618744,1014.7999877929688,35.04999923706055,-6.050000190734863,41.099998474121094,20.850000381469727,-0.15000000596046448,25.950000762939453,-0.15000000596046448,236.1999969482422,28.5,10.5,30.100000381469727,82,37.400001525878906,71.30000305175781,37.400001525878906
Chynoweth05,98,-109.438229,40.480805,10.949999809265137,13.800000190734863,0.3220140337944031,1045.5999755859375,33.849998474121094,-8.850000381469727,42.70000076293945,19.049999237060547,-2.75,24.049999237060547,-2.75,243.6999969482422,31.399999618530273,12.899999618530273,24.899999618530273,76.5999984741211,45.400001525878906,56.20000076293945,45.400001525878906
Chynoweth07,99,-109.523564,40.533605,10.25,13.800000190734863,0.3271971344947815,1017,32.95000076293945,-9.149999618530273,42.099998474121094,18.25,-2.950000047683716,23.049999237060547,-2.950000047683716,234.8000030517578,28.799999237060547,12.800000190734863,24,73.19999694824219,42.900001525878906,56.79999923706055,42.900001525878906
Chynoweth08,100,-109.48689,40.640878,7.150000095367432,13.699999809265137,0.32617345452308655,1006.0999755859375,29.850000381469727,-12.050000190734863,41.900001525878906,15.149999618530273,-5.75,19.950000762939453,-5.75,328.6000061035156,38,17.799999237060547,24.5,100.9000015258789,56.900001525878906,83.5,56.900001525878906
Copeland01,38,-117.33,43.7,12.050000190734863,11.300000190734863,0.297149121761322,942.4000244140625,33.45000076293945,-4.550000190734863,38,11.25,24.049999237060547,24.149999618530273,0.05000000074505806,282.5,36.79999923706055,10.199999809265137,36.599998474121094,91.69999694824219,32.70000076293945,46.70000076293945,85.80000305175781
Copeland05,39,-118.71,42.27,11.050000190734863,12.199999809265137,0.3191535770893097,923.0999755859375,32.54999923706055,-5.650000095367432,38.20000076293945,9.649999618530273,23.049999237060547,23.049999237060547,-0.3499999940395355,234,30.5,5.900000095367432,39.20000076293945,78.19999694824219,24.600000381469727,24.600000381469727,72.5
Copeland09,40,-119.68,43.47,9.649999618530273,12.100000381469727,0.3391527235507965,844.5999755859375,30.549999237060547,-5.25,35.79999923706055,0.25,20.850000381469727,20.850000381469727,-0.550000011920929,309.29998779296875,40.29999923706055,13.800000190734863,33.29999923706055,103.5999984741211,42.70000076293945,42.70000076293945,90.5999984741211
Copeland10,41,-118.74,42.77,7.25,11.5,0.3140327036380768,885.79998779296875,28.549999237060547,-8.149999618530273,36.70000076293945,5.550000190734863,19.049999237060547,19.049999237060547,-3.450000047683716,523.70001220703125,68.0999984741211,15.5,39.599998474121094,183.89999389648438,53.70000076293945,53.70000076293945,147.89999389648438
Davies03,103,-118.68,42.68,5.150000095367432,11.399999618530273,0.3081080913543701,896.20001220703125,26.450000762939453,-10.550000190734863,37,3.450000047683716,16.950000762939453,16.950000762939453,-5.75,568.9000244140625,73,16.100000381469727,39.599998474121094,196.39999389648438,57.70000076293945,57.70000076293945,165.10000610351562
Downs01,42,-119.430272,46.38145,14.550000190734863,12.600000381469727,0.31662487983703613,944.5,36.650001525878906,-3.25,39.900001525878906,3.1500000953674316,26.25,26.549999237060547,2.549999952316284,200.39999389648438,31.100000381469727,4.099999904632568,50.20000076293945,85.5,16.100000381469727,23,78.19999694824219
