"site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","site_year","site_numeric","site_year_numeric","year_numeric","NewSiteCode","SeedSource","sample.id.x","kinshipID","sample.id.y","source","neighbors.s","perennial.s","shrub.s","annual.s","Dataset","plot_index","idx","idx_site","r_train","e_train","Obs_Fitness","Obs_Fitness_log","Predicted_Fitness_PostPred","Predicted_Fitness_log_PostPred","Predicted_Fitness","Predicted_Fitness_log","Predicted_Fitness_fixed","Predicted_Fitness_log_fixed","Predicted_Fitness_PostPred_fixed","Predicted_Fitness_log_PostPred_fixed"
"CastValley","CastValley","2021","control","E",4.2,"Y","N",2,0,0,0,NA,38.677,-109.417,10,0,10,0,"Satellite","619",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,0.513577669200298,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,0.699,-Inf,0.687968752313787,2.74689441671198,11.5928499237282,2.28873774994113,11.1746666666666,-Inf
"CastValley","CastValley","2021","control","E",4.4,"Y","N",1,0,0,0,NA,38.677,-109.417,15,0,0,0,"Satellite","620",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.544915159370427,-0.315132502059027,-0.108544113731669,1.31303523511578,"Training",0,3,3,0,1,0,-Inf,1.02466666666667,-Inf,1.05171800042115,3.05063992697036,17.0777328806276,2.67948481064963,17.2183333333334,-Inf
"CastValley","CastValley","2021","control","E",4.6,"Y","N",0,0,0,0,NA,38.677,-109.417,10,0,10,0,"Satellite","621",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,0.513577669200298,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,0.869999999999999,-Inf,0.782774580415652,2.90671181995384,13.4501108032496,2.43432401130448,13.688,-Inf
"CastValley","CastValley","2021","control","E",4.8,"Y","N",2,0,0,0,NA,38.677,-109.417,10,0,2,0,"Satellite","622",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.149390467807162,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,1.064,-Inf,0.894522054728734,2.90803321530046,14.5726896538818,2.5213917145299,13.9173333333333,-Inf
"CastValley","CastValley","2021","control","E",5,"Y","N",7,0,0,0,NA,38.677,-109.417,20,0,35,0,"Satellite","623",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",0.102976444531139,2.58535309734861,-0.108544113731669,1.83960310732055,"Training",0,3,3,0,1,0,-Inf,0.274333333333334,-Inf,0.233927648928487,1.95668228156869,4.10582083013102,1.24121469781736,4.47766666666667,-Inf
"CastValley","CastValley","2021","control","E",5.2,"Y","N",4,0,0,0,NA,38.677,-109.417,10,0,1,0,"Satellite","624",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.220969357419644,-0.232261484933094,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,0.878666666666667,-Inf,0.810852075472822,2.76945920747205,12.8835867040543,2.40152870847122,13.4653333333333,-Inf
"CastValley","CastValley","2021","control","E",5.4,"Y","N",2,0,0,0,NA,38.677,-109.417,5,0,0,0,"Satellite","625",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.315132502059027,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,0.989666666666668,-Inf,0.925589580265356,2.92805542168016,15.0190791633648,2.55203609010475,14.058,-Inf
"CastValley","CastValley","2021","control","E",5.6,"Y","N",1,0,0,0,NA,38.677,-109.417,2,0,0,0,"Satellite","626",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.544915159370427,-0.315132502059027,-0.108544113731669,-0.0560412326166212,"Training",0,3,3,0,1,0,-Inf,0.980333333333333,-Inf,0.969673171094561,2.99633664269254,15.9390518549899,2.60960124193193,17.054,-Inf
"CastValley","CastValley","2021","control","E",5.8,"N","N",3,0,0,0,NA,38.677,-109.417,5,0,1,0,"Satellite","627",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.328951291403238,-0.232261484933094,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,0,0,-Inf,1.07333333333333,-Inf,0.838996850073564,2.82783706297973,13.5334393984311,2.44890401118606,13.232,-Inf
"CastValley","CastValley","2021","control","E",6,"Y","N",2,0,0,0,NA,38.677,-109.417,15,0,5,0,"Satellite","628",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,0.0992225835706355,-0.108544113731669,1.31303523511578,"Training",0,3,3,0,1,0,-Inf,0.832666666666666,-Inf,0.836608419928201,2.86782409639183,13.7375766140965,2.46099242995366,13.8486666666667,-Inf
